# energy/meV  VibDOS 
-5.99951e+02   2.17312e-05
-5.98451e+02   2.18004e-05
-5.96951e+02   2.18699e-05
-5.95451e+02   2.19398e-05
-5.93951e+02   2.20101e-05
-5.92451e+02   2.20807e-05
-5.90951e+02   2.21516e-05
-5.89451e+02   2.22229e-05
-5.87951e+02   2.22945e-05
-5.86451e+02   2.23665e-05
-5.84951e+02   2.24389e-05
-5.83451e+02   2.25116e-05
-5.81951e+02   2.25846e-05
-5.80451e+02   2.26581e-05
-5.78951e+02   2.27319e-05
-5.77451e+02   2.28061e-05
-5.75951e+02   2.28806e-05
-5.74451e+02   2.29556e-05
-5.72951e+02   2.30309e-05
-5.71451e+02   2.31066e-05
-5.69951e+02   2.31827e-05
-5.68451e+02   2.32591e-05
-5.66951e+02   2.33360e-05
-5.65451e+02   2.34132e-05
-5.63951e+02   2.34909e-05
-5.62451e+02   2.35689e-05
-5.60951e+02   2.36474e-05
-5.59451e+02   2.37262e-05
-5.57951e+02   2.38055e-05
-5.56451e+02   2.38851e-05
-5.54951e+02   2.39652e-05
-5.53451e+02   2.40457e-05
-5.51951e+02   2.41266e-05
-5.50451e+02   2.42079e-05
-5.48951e+02   2.42897e-05
-5.47451e+02   2.43719e-05
-5.45951e+02   2.44545e-05
-5.44451e+02   2.45375e-05
-5.42951e+02   2.46210e-05
-5.41451e+02   2.47049e-05
-5.39951e+02   2.47893e-05
-5.38451e+02   2.48741e-05
-5.36951e+02   2.49594e-05
-5.35451e+02   2.50451e-05
-5.33951e+02   2.51313e-05
-5.32451e+02   2.52179e-05
-5.30951e+02   2.53050e-05
-5.29451e+02   2.53926e-05
-5.27951e+02   2.54806e-05
-5.26451e+02   2.55691e-05
-5.24951e+02   2.56581e-05
-5.23451e+02   2.57476e-05
-5.21951e+02   2.58376e-05
-5.20451e+02   2.59280e-05
-5.18951e+02   2.60189e-05
-5.17451e+02   2.61104e-05
-5.15951e+02   2.62023e-05
-5.14451e+02   2.62947e-05
-5.12951e+02   2.63877e-05
-5.11451e+02   2.64811e-05
-5.09951e+02   2.65751e-05
-5.08451e+02   2.66696e-05
