 Note: freq.dat has 8 imaginary frequencies.
 Frequencies 	 Amplitude 
	 1 	 
	 2 	 
	 3 	 
	 4 	 
	 5 	 
	 6 	 
	 7 	 
	 8 	 
	 9 	 
	 10 	 3.14129971565459e-22
	 11 	 9.08348656128565e-27
	 12 	 9.66276236447637e-32
	 13 	 3.78142541086646e-37
	 14 	 5.44396463886727e-43
	 15 	 2.88323851654648e-49
	 16 	 5.61760714461718e-56
	 17 	 4.02649974618315e-63
	 18 	 1.06171879558775e-70
	 19 	 1.02990425759267e-78
	 20 	 3.67527397561571e-87
	 21 	 4.82489763016794e-96
	 22 	 2.33019360165955e-105
	 23 	 4.14001033788264e-115
	 24 	 2.70592879281502e-125
	 25 	 6.50634098664554e-136
	 26 	 5.75523146236869e-147
	 27 	 1.8728124475253e-158
	 28 	 2.24197774810295e-170
	 29 	 9.87356129475099e-183
	 30 	 1.59963859311958e-195
	 31 	 9.53400638363353e-209
	 32 	 2.09042466696135e-222
	 33 	 1.6861613201627e-236
	 34 	 5.00344628545936e-251
	 35 	 5.46191426888368e-266
	 36 	 2.19344139110935e-281
	 37 	 3.24050509062828e-297
	 38 	 1.76118468260711e-313
	 39 	 0
	 40 	 0
	 41 	 0
	 42 	 0
	 43 	 0
	 44 	 0
	 45 	 0
	 46 	 0
	 47 	 0
	 48 	 0
	 49 	 0
	 50 	 0
	 51 	 0
	 52 	 0
	 53 	 0
	 54 	 0
	 55 	 0
	 56 	 0
	 57 	 0
	 58 	 0
	 59 	 0
	 60 	 0
	 61 	 0
	 62 	 0
	 63 	 0
	 64 	 0
	 65 	 0
	 66 	 0
	 67 	 0
	 68 	 0
	 69 	 0
	 70 	 0
	 71 	 0
	 72 	 0
	 73 	 0
	 74 	 0
	 75 	 0
	 76 	 0
	 77 	 0
	 78 	 0
	 79 	 0
	 80 	 0
	 81 	 0
	 82 	 0
	 83 	 0
	 84 	 0
	 85 	 0
	 86 	 0
	 87 	 0
	 88 	 0
	 89 	 0
	 90 	 0
	 91 	 0
	 92 	 0
	 93 	 0
	 94 	 0
	 95 	 0
	 96 	 0
	 97 	 0
	 98 	 0
	 99 	 0
	 100 	 0
	 101 	 0
	 102 	 0
	 103 	 0
	 104 	 0
	 105 	 0
	 106 	 0
	 107 	 0
	 108 	 0
	 109 	 0
	 110 	 0
	 111 	 0
	 112 	 0
	 113 	 0
	 114 	 0
	 115 	 0
	 116 	 0
	 117 	 0
	 118 	 0
	 119 	 0
	 120 	 0
	 121 	 0
	 122 	 0
	 123 	 0
	 124 	 0
	 125 	 0
	 126 	 0
	 127 	 0
	 128 	 0
	 129 	 0
	 130 	 0
	 131 	 0
	 132 	 0
	 133 	 0
	 134 	 0
	 135 	 0
	 136 	 0
	 137 	 0
	 138 	 0
	 139 	 0
	 140 	 0
	 141 	 0
	 142 	 0
	 143 	 0
	 144 	 0
	 145 	 0
	 146 	 0
	 147 	 0
	 148 	 0
	 149 	 0
	 150 	 0
	 151 	 0
	 152 	 0
	 153 	 0
	 154 	 0
	 155 	 0
	 156 	 0
	 157 	 0
	 158 	 0
	 159 	 0
	 160 	 0
	 161 	 0
	 162 	 0
	 163 	 0
	 164 	 0
	 165 	 0
	 166 	 0
	 167 	 0
	 168 	 0
	 169 	 0
	 170 	 0
	 171 	 0
	 172 	 0
	 173 	 0
	 174 	 0
	 175 	 0
	 176 	 0
	 177 	 0
	 178 	 0
	 179 	 0
	 180 	 0
	 181 	 0
	 182 	 0
	 183 	 0
	 184 	 0
	 185 	 0
	 186 	 0
	 187 	 0
	 188 	 0
	 189 	 0
